sku;descricao;ean,hora_criacao
2306;-;3163870959,20231024004340
1078;-;3897481134,20231024004340
1581;-;8859925381,20231024004340
2706;-;8702646930,20231024004340
1708;-;7622182742,20231024004340
1391;-;5544523860,20231024004340
4738;-;8643619619,20231024004340
6654;-;9973352716,20231024004340
8829;-;9847552465,20231024004340
8020;-;5513270123,20231024004340
2652;-;6302251045,20231024004340
7863;-;5738428857,20231024004340
6859;-;4526750207,20231024004340
1985;-;3495146862,20231024004340
5137;-;2995296661,20231024004340
2877;-;2595224309,20231024004340
7392;-;4004619810,20231024004340
4825;-;7263916321,20231024004340
4095;-;8991275461,20231024004340
2823;-;8260447512,20231024004340
4418;-;3761523352,20231024004340
5707;-;9811401478,20231024004340
4680;-;9788709158,20231024004340
3877;-;3014879063,20231024004340
2785;-;5648253346,20231024004340
6763;-;5223473645,20231024004340
4601;-;8540017120,20231024004340
1210;-;5362767659,20231024004340
7663;-;8696924811,20231024004340
8809;-;1004965720,20231024004340
6876;-;9986349516,20231024004340
1070;-;3888321178,20231024004340
3104;-;4137110870,20231024004340
3703;-;4937739025,20231024004340
6230;-;9538128785,20231024004340
2905;-;6901024861,20231024004340
2404;-;4855669259,20231024004340
5980;-;7789039589,20231024004340
7683;-;9497096041,20231024004340
3016;-;3396110986,20231024004340
4271;-;3875221508,20231024004340
3141;-;1098897286,20231024004340
7876;-;9183797442,20231024004340
3765;-;7858507009,20231024004340
1731;-;3775767754,20231024004340
6615;-;1540985161,20231024004340
3933;-;4963182756,20231024004340
7748;-;4618418897,20231024004340
7329;-;5346397037,20231024004340
4363;-;6172611430,20231024004340
2860;-;5216164645,20231024004340
6106;-;1238547386,20231024004340
6040;-;1275873784,20231024004340
2287;-;7263875242,20231024004340
6529;-;1447707294,20231024004340
1643;-;7047233685,20231024004340
3795;-;7119414166,20231024004340
8302;-;3975715695,20231024004340
6692;-;1610254474,20231024004340
7040;-;1715668023,20231024004340
8765;-;6939648975,20231024004340
5426;-;3722782827,20231024004340
5099;-;6834135677,20231024004340
7072;-;4612974318,20231024004340
2715;-;2222748345,20231024004340
7650;-;8452645026,20231024004340
4120;-;2984311232,20231024004340
4809;-;7290812182,20231024004340
1317;-;2896738287,20231024004340
6993;-;6734054549,20231024004340
3724;-;8288917937,20231024004340
7498;-;2209898959,20231024004340
3573;-;9844164952,20231024004340
3957;-;7381266904,20231024004340
5235;-;3593212309,20231024004340
7918;-;8642290860,20231024004340
5994;-;8027050346,20231024004340
5146;-;1415049286,20231024004340
5164;-;6480046262,20231024004340
3055;-;1202737420,20231024004340
8983;-;8524820670,20231024004340
3604;-;6255378247,20231024004340
2127;-;1504340665,20231024004340
6144;-;9119378768,20231024004340
5710;-;8489795764,20231024004340
6641;-;6850212861,20231024004340
6769;-;7273575322,20231024004340
6439;-;9935791848,20231024004340
1717;-;5515772877,20231024004340
8852;-;3429461754,20231024004340
3458;-;8700534812,20231024004340
3398;-;5367972191,20231024004340
7499;-;5884450264,20231024004340
6333;-;3926292051,20231024004340
6050;-;3930115640,20231024004340
8109;-;2184439746,20231024004340
3738;-;3648985497,20231024004340
4887;-;5475730129,20231024004340
3191;-;4086523779,20231024004340
4682;-;6030292734,20231024004340
3267;-;1902573902,20231024004340
2070;-;6645034304,20231024004340
2991;-;4789698531,20231024004340
6743;-;4875355871,20231024004340
4549;-;1851142912,20231024004340
4125;-;5767420411,20231024004340
8719;-;1558236910,20231024004340
4294;-;7853556327,20231024004340
4439;-;3773211367,20231024004340
7996;-;7319232458,20231024004340
6699;-;1350916192,20231024004340
1205;-;8563723687,20231024004340
7623;-;3691565340,20231024004340
3544;-;1470997858,20231024004340
1878;-;9332380282,20231024004340
4864;-;4396718926,20231024004340
3539;-;5952077338,20231024004340
5591;-;3243820976,20231024004340
8689;-;2015675029,20231024004340
5319;-;9006843494,20231024004340
6456;-;3712963927,20231024004340
5202;-;8472988974,20231024004340
4144;-;5425645873,20231024004340
2111;-;8234893510,20231024004340
8279;-;6048051585,20231024004340
7561;-;9481011447,20231024004340
6030;-;6980284685,20231024004340
2895;-;8792670669,20231024004340
8303;-;3094828671,20231024004340
8669;-;4531495958,20231024004340
7160;-;5467762152,20231024004340
4008;-;1433944148,20231024004340
4571;-;9174229625,20231024004340
7261;-;3417618643,20231024004340
7850;-;9777306127,20231024004340
8940;-;8884133173,20231024004340
2879;-;2153388608,20231024004340
2534;-;8437392088,20231024004340
4685;-;7838539934,20231024004340
1925;-;3651439319,20231024004340
8937;-;3648239188,20231024004340
2208;-;4599793169,20231024004340
4396;-;2490064199,20231024004340
6768;-;3057330371,20231024004340
2716;-;9321413690,20231024004340
3170;-;8547177877,20231024004340
2085;-;4992777490,20231024004340
3233;-;5705160238,20231024004340
8231;-;4515709927,20231024004340
5376;-;6338239671,20231024004340
8590;-;2057771946,20231024004340
1342;-;8058572037,20231024004340
2968;-;2231335834,20231024004340
8926;-;3108972146,20231024004340
7907;-;9014906017,20231024004340
1247;-;8379956554,20231024004340
7515;-;8557256280,20231024004340
6715;-;3027027206,20231024004340
8449;-;9149997919,20231024004340
2272;-;4419788257,20231024004340
1675;-;5870520677,20231024004340
2821;-;3302296200,20231024004340
8987;-;4338775013,20231024004340
5950;-;8638884646,20231024004340
2598;-;2699808934,20231024004340
2647;-;6931809330,20231024004340
1496;-;3451368578,20231024004340
6664;-;4612129588,20231024004340
5634;-;7085541567,20231024004340
3956;-;2003637715,20231024004340
8863;-;9713510580,20231024004340
8083;-;5006635990,20231024004340
5739;-;6612203734,20231024004340
5830;-;5791587071,20231024004340
2668;-;8375423201,20231024004340
8896;-;8454564094,20231024004340
6057;-;1395465172,20231024004340
3414;-;8896097373,20231024004340
4945;-;2816759295,20231024004340
2038;-;9919750268,20231024004340
3043;-;6622015355,20231024004340
7365;-;8600002931,20231024004340
7339;-;8597226366,20231024004340
7760;-;8816106210,20231024004340
7686;-;5201449644,20231024004340
6628;-;2183298894,20231024004340
8587;-;4365500427,20231024004340
4134;-;9235928184,20231024004340
1812;-;3392898273,20231024004340
8466;-;4323284166,20231024004340
1958;-;3988199022,20231024004340
6088;-;6641811640,20231024004340
1347;-;3489027547,20231024004340
1215;-;4710732090,20231024004340
3515;-;4689585576,20231024004340
2998;-;1637958989,20231024004340
7124;-;2067257194,20231024004340
4991;-;2759705012,20231024004340
7993;-;8983050213,20231024004340
7542;-;6931137952,20231024004340
6233;-;5547991612,20231024004340
4030;-;7890664319,20231024004340
6992;-;6110624901,20231024004340
3518;-;5505504469,20231024004340
3340;-;2582785015,20231024004340
8426;-;1072427890,20231024004340
2966;-;4415075009,20231024004340
3189;-;9032679133,20231024004340
6620;-;3151619664,20231024004340
8866;-;6863585606,20231024004340
4910;-;9489197677,20231024004340
7076;-;1264299550,20231024004340
3202;-;9812234884,20231024004340
2200;-;1865135902,20231024004340
7591;-;2164152487,20231024004340
6441;-;6406428767,20231024004340
8989;-;7420224973,20231024004340
1900;-;1691179770,20231024004340
6149;-;6175056337,20231024004340
6229;-;4300014161,20231024004340
2013;-;8700599626,20231024004340
7262;-;8070367154,20231024004340
3318;-;5876977123,20231024004340
2110;-;1661733862,20231024004340
1892;-;4911393679,20231024004340
1789;-;9412255853,20231024004340
2536;-;6292310849,20231024004340
4188;-;2243806627,20231024004340
3571;-;8490476098,20231024004340
3791;-;7106021536,20231024004340
8173;-;2625465699,20231024004340
7762;-;9199416218,20231024004340
7055;-;4789561649,20231024004340
7172;-;8012072626,20231024004340
3977;-;8099323430,20231024004340
6782;-;4087351707,20231024004340
5792;-;8811945269,20231024004340
3869;-;9116995479,20231024004340
7975;-;6967715707,20231024004340
5251;-;9334167975,20231024004340
5372;-;3374385321,20231024004340
7935;-;6348563841,20231024004340
2889;-;7086146958,20231024004340
2748;-;8378955035,20231024004340
7730;-;5484588445,20231024004340
7924;-;3531517639,20231024004340
2323;-;2554941787,20231024004340
1926;-;5785999359,20231024004340
1560;-;9032957044,20231024004340
1667;-;5290187359,20231024004340
1053;-;6478708827,20231024004340
4996;-;6758280098,20231024004340
6042;-;5759689743,20231024004340
5928;-;3843983988,20231024004340
6804;-;9916330381,20231024004340
8534;-;4836161220,20231024004340
3907;-;6375115566,20231024004340
4936;-;5256513442,20231024004340
4486;-;1566220464,20231024004340
8311;-;2414038162,20231024004340
7007;-;5204511624,20231024004340
8545;-;9797768058,20231024004340
3525;-;5549739382,20231024004340
6369;-;9297370860,20231024004340
7881;-;8867715206,20231024004340
1646;-;8098091895,20231024004340
3867;-;5818667921,20231024004340
7892;-;1823808819,20231024004340
7997;-;7719730953,20231024004340
1999;-;2258852417,20231024004340
3998;-;2942861692,20231024004340
6920;-;8428747759,20231024004340
7756;-;2891547425,20231024004340
3846;-;5433699788,20231024004340
1541;-;5085671142,20231024004340
3524;-;9754698283,20231024004340
6776;-;1964756302,20231024004340
1059;-;2680938576,20231024004340
7698;-;4892869491,20231024004340
2303;-;5898042235,20231024004340
2171;-;3856956854,20231024004340
4944;-;1109335119,20231024004340
8601;-;8987148378,20231024004340
3157;-;2122699540,20231024004340
6459;-;3567900437,20231024004340
4883;-;8493031722,20231024004340
4706;-;2638089048,20231024004340
1490;-;7166692005,20231024004340
8255;-;9885442530,20231024004340
3096;-;9239217153,20231024004340
1787;-;3685410992,20231024004340
8498;-;6337819856,20231024004340
3338;-;7722743548,20231024004340
7539;-;4048824977,20231024004340
1755;-;5284379069,20231024004340
8927;-;8606539473,20231024004340
5777;-;4706638411,20231024004340
5524;-;7758892605,20231024004340
6556;-;3111140069,20231024004340
2597;-;2364332589,20231024004340
3209;-;9894631931,20231024004340
7158;-;9090853487,20231024004340
1231;-;8268154092,20231024004340
8693;-;9405716690,20231024004340
5023;-;8760244435,20231024004340
7236;-;2325436524,20231024004340
5394;-;7261548965,20231024004340
8396;-;9940809958,20231024004340
6613;-;1696744947,20231024004340
8634;-;1704834055,20231024004340
6530;-;1748069283,20231024004340
8542;-;2254087210,20231024004340
3650;-;8156882792,20231024004340
7598;-;2876327716,20231024004340
1779;-;2326962916,20231024004340
5246;-;7724840122,20231024004340
6013;-;1331620186,20231024004340
3520;-;5960890231,20231024004340
3972;-;2415203748,20231024004340
8675;-;2286617126,20231024004340
3294;-;5320062206,20231024004340
2805;-;4506272325,20231024004340
2503;-;9156215018,20231024004340
4569;-;3298628883,20231024004340
7378;-;1888867678,20231024004340
7082;-;2919592463,20231024004340
5156;-;2473829396,20231024004340
8947;-;4966731960,20231024004340
5462;-;6849979060,20231024004340
3302;-;9140600341,20231024004340
4858;-;4203044690,20231024004340
5006;-;7860957525,20231024004340
6126;-;1156112932,20231024004340
8131;-;3810430260,20231024004340
8503;-;6141368456,20231024004340
7438;-;1251240702,20231024004340
8953;-;1014471757,20231024004340
2620;-;9847471197,20231024004340
8118;-;1183690058,20231024004340
1885;-;2627138092,20231024004340
7813;-;2426294072,20231024004340
3989;-;1348243736,20231024004340
5343;-;8072124682,20231024004340
1056;-;3516957619,20231024004340
5368;-;8350934413,20231024004340
4802;-;7905508246,20231024004340
4321;-;6545074590,20231024004340
8041;-;8594638539,20231024004340
7803;-;6501580086,20231024004340
4354;-;1432849251,20231024004340
5693;-;6844660252,20231024004340
4068;-;1920462092,20231024004340
8965;-;7467463219,20231024004340
5322;-;9545077849,20231024004340
5965;-;3897411670,20231024004340
4844;-;6972028173,20231024004340
8105;-;2526820464,20231024004340
6401;-;2684934338,20231024004340
6006;-;5974741403,20231024004340
4683;-;6262174856,20231024004340
2153;-;6658736914,20231024004340
1304;-;5987194417,20231024004340
6464;-;5928780154,20231024004340
7397;-;3657722682,20231024004340
8832;-;2576435352,20231024004340
4424;-;9004941417,20231024004340
7990;-;4733958233,20231024004340
7672;-;8184718466,20231024004340
7775;-;8514388426,20231024004340
8986;-;6183667658,20231024004340
2460;-;3071087913,20231024004340
2666;-;6421603774,20231024004340
4292;-;4421281074,20231024004340
1445;-;6152124548,20231024004340
5775;-;5159536343,20231024004340
1369;-;5397896221,20231024004340
5907;-;6034605609,20231024004340
4132;-;8089215677,20231024004340
1118;-;5524634853,20231024004340
3856;-;4223884587,20231024004340
3274;-;7108262615,20231024004340
5487;-;6141520016,20231024004340
8172;-;6549811753,20231024004340
1747;-;3421243363,20231024004340
2242;-;8775259458,20231024004340
6520;-;4600379233,20231024004340
7662;-;9948582561,20231024004340
4842;-;4762005974,20231024004340
7274;-;1685442319,20231024004340
3706;-;6345323802,20231024004340
4822;-;7550899929,20231024004340
6965;-;8463220243,20231024004340
3665;-;3589680862,20231024004340
7186;-;3579711935,20231024004340
1685;-;7824706640,20231024004340
3435;-;7645566777,20231024004340
2566;-;7678447596,20231024004340
5464;-;8617518618,20231024004340
1638;-;3943277537,20231024004340
2636;-;1440964786,20231024004340
4707;-;7801666297,20231024004340
8312;-;3995591875,20231024004340
2145;-;7000208447,20231024004340
1601;-;7555799079,20231024004340
3142;-;4444308669,20231024004340
6560;-;6057931526,20231024004340
5625;-;1106671706,20231024004340
3576;-;9607716325,20231024004340
6164;-;7114896791,20231024004340
3465;-;4099223705,20231024004340
6967;-;3948258823,20231024004340
3719;-;8628006655,20231024004340
3612;-;7573131771,20231024004340
5972;-;5819835045,20231024004340
1796;-;5323386243,20231024004340
8390;-;3032883463,20231024004340
8660;-;5736151347,20231024004340
7982;-;3371125494,20231024004340
2887;-;1918728885,20231024004340
2787;-;4296076503,20231024004340
8763;-;4726387364,20231024004340
7567;-;4576297924,20231024004340
1160;-;5801971578,20231024004340
2542;-;2480826393,20231024004340
7413;-;7937345209,20231024004340
5459;-;2591600159,20231024004340
6790;-;4385728975,20231024004340
6127;-;3740315222,20231024004340
6907;-;2123501759,20231024004340
6507;-;9010942839,20231024004340
5936;-;5257276645,20231024004340
8143;-;7443162748,20231024004340
4142;-;2939389138,20231024004340
5050;-;7171726336,20231024004340
6718;-;7606540913,20231024004340
6869;-;7630646304,20231024004340
5292;-;8936170590,20231024004340
2346;-;7526393849,20231024004340
6572;-;6388880409,20231024004340
3890;-;5821086914,20231024004340
7140;-;9570234105,20231024004340
4573;-;2573841265,20231024004340
2015;-;5793601628,20231024004340
8444;-;7939482389,20231024004340
2896;-;3570896123,20231024004340
2669;-;9030549777,20231024004340
4113;-;1930834385,20231024004340
8337;-;1571667001,20231024004340
5383;-;5277492540,20231024004340
5340;-;3589696823,20231024004340
1748;-;1967729170,20231024004340
3876;-;9692839745,20231024004340
7773;-;5846839192,20231024004340
3880;-;7960604463,20231024004340
5844;-;2000093754,20231024004340
5014;-;9534244314,20231024004340
8798;-;2450698832,20231024004340
3602;-;3109229574,20231024004340
4047;-;9003994573,20231024004340
3317;-;6232015239,20231024004340
7705;-;1393171152,20231024004340
3889;-;4778790698,20231024004340
3866;-;2832508487,20231024004340
4357;-;5306465318,20231024004340
8917;-;4622452631,20231024004340
5314;-;4835710216,20231024004340
6788;-;9041196651,20231024004340
6090;-;5122415306,20231024004340
8199;-;4059092191,20231024004340
8629;-;9196954845,20231024004340
6444;-;2964048580,20231024004340
6342;-;4781357156,20231024004340
8732;-;3084165641,20231024004340
